"","author.ID","paper.ID","coauthor.names","paper.title","journal.title","author.names"
"1","100","1","T Kunii","Visual Translation: From Native Language to Sign Language ","VL Visual Languages","J Lee"
"2","100","2","NA ","Notational Representation of Sign Language: A Structural Description of Hand Configuration ","ICCHP International Conference Computers for Handicapped Persons","J Lee"
"3","10","20","Y Solihin, J Torrellas","Memory-Side Correlation Prefetching Using a General-Purpose Core in Memory"," the th Annual International Symposium Computer Architecture ISCA International Symposium Computer Architecture","J Lee"
"4","10","21","Y Solihin, J Torrellas","Prefetching in an Intelligent Memory Architecture Using a Helper Thread,","Proceedings of Workshop Multithreaded Execution Architecture and Compilation MTEAC","J Lee"
"5","10","22","Y Solihin, J Torrellas","Automatic Code Mapping on an Intelligent Memory Architecture"," An extended version of IEEE Transactions Computers Special Issue Advances High Performance Memory Systems","J Lee"
"6","10","23","J Torrellas, Y Solihin","Correlation Prefetching with a User-Level Memory Thread ","IEEE Trans Parallel Distrib Syst","J Lee"
"7","10","24","J Torrellas, Y Solihin","Adaptively Mapping Code in an Intelligent Memory Architecture ","Intelligent Memory Systems","J Lee"
"8","10","25","J Torrellas, Y Solihin","Automatic Code Mapping on an Intelligent Memory Architecture ","IEEE Trans Computers","J Lee"
"9","10","26","J Torrellas, Y Solihin","Automatically Mapping Code on an Intelligent Memory Architecture ","HPCA International Symposium High Performance Computer Architecture","J Lee"
"10","10","27","C Wong, D Padua, S Midkiff, X Fang, Z Sura","The Pensieve Project: A Compiler Infrastructure for Memory Models ","ISPAN","J Lee"
"11","10","1","A Browne, A Kapur, E Chang, H Devarajan, H Sipma, L Alfaro, M Col&oacute, n n, N Bj&oslash, r rner, T Tom&aacute, s Uribe, Z Manna","STeP: The Stanford Temporal Prover ","TAPSOFT","J Lee"
"12","10","2","D Padua, S Midkiff","Basic Compiler Algorithms for Explicitly Parallel Programs"," An extended version of to ACM Transactions Programming Languages and Systems","J Lee"
"13","10","3","D Padua, S Midkiff","Basic Compiler Algorithms for Parallel Programs"," Proceedings of the th ACM SIGPLAN Special Interest Group Programming Languages Symposium Principles and Practice of Parallel Programming PPoPP","J Lee"
"14","10","10","Y Solihin, J Torrellas","Automatically Mapping Code on an Intelligent Memory Architecture"," Proceedings of the th International Symposium High Performance Computer Architecture HPCA International Symposium High Performance Computer Architecture","J Lee"
"15","10","4","","Compilation Techniques for Explicitly Parallel Programs"," Ph D Thesis Technical Report UIUCDCS R Department of Computer Science University of at","J Lee"
"16","10","11","S Midkiff, D Padua"," A Compiler for Multiple Memory Models ;","The th Workshop Compilers for Parallel Computers CPC","J Lee"
"17","10","5","S Midkiff, D Padua","Concurrent Static Single Assignment Form and Constant Propagation for Explicitly Parallel Programs"," Proceedings of the th International Workshop Languages and Compilers for Parallel Computing LCPC Languages and Compilers for Parallel Computing Lecture Notes Computer Science Springer Twin Cities","J Lee"
