"","author.ID","paper.ID","coauthor.names","paper.title","journal.title","author.names"
"1","10","1","A Le, J Wilkins, S Matyas","Design of the Commercial Data Masking Facility Data Privacy Algorithm ","ACM Conference Computer and Communications Security","D Johnson"
"2","10","2","A Le, J Wilkins, S Matyas","A Public Key Extension to the Common Cryptographic Architecture ","IBM Systems Journal","D Johnson"
"3","10","3","G Dolan","Transaction Security System Extensions to the Common Cryptographic Architecture ","IBM Systems Journal","D Johnson"
"4","10","4","A Le, G Dolan, M Kelly, S Matyas","Common Cryptographic Architecture Cryptographic Application Programming Interface ","IBM Systems Journal","D Johnson"
"5","11","1","D Lilja, J Riedl","A Distributed Hardware Mechanism for Process Synchronization on Shared-Bus Multiprocessors ","ICPP International Conference Parallel Processing","D Johnson"
"6","11","2","D Lilja, J Riedl","A Circulating Active Barrier Synchronization Mechanism ","ICPP International Conference Parallel Processing","D Johnson"
"7","11","3","D Lilja, J Anderson, J Riedl","Low-Cost, High-Performance Barrier Synchronization on Networks of Workstations ","J Parallel Distrib Comput","D Johnson"
"8","12","1","D Brown","Formal Security Proofs for a Signature Scheme with Partial Message Recovery ","RSA","D Johnson"
"9","12","2","NA ","AES and Future Resiliency: More Thoughts and Questions ","AES Candidate Conference","D Johnson"
"10","13","1","B Kingsbury, J Beck, J Wawrzynek, K Asanovic, N Morgan","SPERT-II: A Vector Microprocessor System and its Application to Large Problems in Backpropagation Training ","NIPS Neural Information Processing Systems","D Johnson"
"11","13","2","B Kingsbury, J Beck, J Wawrzynek, K Asanovic, N Morgan","Spert-II: A Vector Microprocessor System ","IEEE Computer","D Johnson"
"12","14","1","NA ","Trap Architectures for Lisp Systems ","LISP and Functional Programming","D Johnson"
"13","14","2","NA ","The Case for a Read Barrier ","ASPLOS Architectural Support for Programming Languages and Operating Systems","D Johnson"
"14","15","1","C Berman, J Coplien, J Daniels, K Rubin, L Hill","Managing Object Oriented Projects - Panel Session ","OOPSLA Conference Object Oriented Programming Systems Languages and Applications","D Johnson"
"15","15","2","C Berman, J Coplien, J Daniels, K Rubin, L Hill","Object-oriented project management panel ","OOPS Messenger","D Johnson"
"16","1","16","","Network Design,","J Algorithms","D Johnson"
"17","1","17","","Interactive Proof Systems for Fun and Profit,","J Algorithms","D Johnson"
"18","1","18","","Updates, Updates, Updates,","J Algorithms","D Johnson"
"19","1","19","","Approximation Algorithms for Combinatorial Problems","STOC ACM Symposium Theory of Computing","D Johnson"
"20","1","140","D Johnson, D Johnson, J Lenstra, A Kan","The Complexity of the Network Design Problem,","Networks","D Johnson"
"21","1","141","D Johnson, D Johnson, F Preparata","The Densest Hemisphere Problem,","Theoretical Comp Sci","D Johnson"
"22","1","142","D Johnson, D Johnson","The Genealogy of Theoretical Computer Science,","SIGACT News","D Johnson"
"23","1","143","D Johnson, D Johnson, M Minkoff, M Minkoff, S Phillips","The Prize Collecting Steiner Tree Problem: Theory and Practice,","Proc th Ann ACM SIAM Society for Industrial and Applied Mathematics Symp Discrete Algorithms","D Johnson"
"24","1","144","D Johnson, D Johnson, L McGeoch","The Traveling Salesman Problem: A Case Study in Local Optimization,","Local Search Combinatorial Optimization E H L Aarts and J K Lenstra editors John Wiley and Sons Ltd","D Johnson"
"25","1","145","D Johnson, D Johnson, A Klug","Testing Containment of Conjunctive Queries under Functional and Inclusion Dependencies,","Journal of Computer and Systems Sciences","D Johnson"
"26","1","90","M Garey","Scheduling Tasks with Nonuniform Deadlines on Two Processors ","J ACM","D Johnson"
"27","1","146","D Johnson, D Johnson","A Theoretician's Guide to the Experimental Analysis of Algorithms,"," Proceedings of the th and th DIMACS Implementation Challenges M Goldwasser D S Johnson and C C McGeoch Editors American Mathematical Society","D Johnson"
"28","1","91","D Johnson, M Garey, R Graham, D Johnson","Some NP-Complete Geometric Problems,","Proc th Annual ACM Symp Theory of Computing","D Johnson"
"29","1","147","C Kenyon, J J&aacute, n Csirik","Better approximation algorithms for bin covering ","SODA Symposium Discrete Algorithms","D Johnson"
"30","1","92","D Johnson, M Garey, D Johnson, L Stockmeyer","Some Simplified NP-Complete Graph Problems,","Theoretical Comp Sci","D Johnson"
"31","1","148","C Kenyon, J J&aacute, n Csirik, J Orlin, P Shor, R Weber","On the sum-of-squares algorithm for bin packing ","STOC ACM Symposium Theory of Computing","D Johnson"
"32","1","93","M Garey","``Strong'' NP-Completeness Results: Motivation, Examples, and Implications ","J ACM","D Johnson"
"33","1","149","C Kenyon, J J&aacute, n Csirik, P Shor, R Weber","A Self Organizing Bin Packing Heuristic ","ALENEX Algorithm Engineering and Experiments","D Johnson"
"34","1","94","D Johnson, M Garey, D Johnson, G Miller, C Papadimitriou","The Complexity of Coloring Circular Arcs and Chords,","SIAM Society for Industrial and Applied Mathematics J Algebraic and Discrete Methods","D Johnson"
"35","1","95","D Johnson, M Garey, R Graham, D Johnson","The Complexity of Computing Steiner Minimal Trees,","SIAM Society for Industrial and Applied Mathematics J Appl Math","D Johnson"
"36","1","96","D Johnson, M Garey, D Johnson, R Sethi","The Complexity of Flowshop and Jobshop Scheduling,","Math of Oper Research","D Johnson"
"37","1","97","M Garey","The Complexity of Near-Optimal Graph Coloring ","J ACM","D Johnson"
"38","1","98","D Johnson, M Garey, D Johnson, H Witsenhausen","The Complexity of the Generalized Lloyd-Max Problem,","IEEE Trans Information Theory IT","D Johnson"
"39","1","99","M Garey, R Tarjan","The Planar Hamiltonian Circuit Problem is NP-Complete ","SIAM Society for Industrial and Applied Mathematics J Comput","D Johnson"
"40","1","20","","Approximation Algorithms for Combinatorial Problems ","J Comput Syst Sci","D Johnson"
"41","1","21","","Parallel Processing,","J Algorithms","D Johnson"
"42","1","22","","Partitioning, Covering, and Packing Problems,","J Algorithms","D Johnson"
"43","1","23","","Oracles, Bin Packing, and and Ordering Problems,","J Algorithms","D Johnson"
"44","1","24","","Randomized Algorithms and Complexity Classes,","J Algorithms","D Johnson"
"45","1","25","","Routing Problems,","J Algorithms","D Johnson"
"46","1","26","","Solving NP-Hard Problems Quickly On Average ,","J Algorithms","D Johnson"
"47","1","27","","The Many Faces of Polynomial Time,","J Algorithms","D Johnson"
"48","1","28","","The NP-Completeness Column: An Ongoing Guide ","J Algorithms","D Johnson"
"49","1","29","","The Story So Far,","J Algorithms","D Johnson"
"50","1","150","D Kleitman, J Leung, S Assmann","On a Dual Version of the One-Dimensional Bin Packing Problem ","J Algorithms","D Johnson"
"51","1","151","A Klug","Optimizing Conjunctive Queries When Attribute Domains Are not Disjoint Extended Abstract ","FOCS IEEE Symposium Foundations of Computer Science","D Johnson"
"52","1","152","A Klug","Optimizing Conjunctive Queries that Contain Untyped Variables ","SIAM Society for Industrial and Applied Mathematics J Comput","D Johnson"
"53","1","153","A Klug","Testing Containment of Conjunctive Queries Under Functional and Inclusion Dependencies ","PODS Symposium Principles of Database Systems","D Johnson"
"54","1","154","A Klug","Testing Containment of Conjunctive Queries under Functional and Inclusion Dependencies ","J Comput Syst Sci","D Johnson"
"55","1","155","A LaPaugh, R Pinter","Minimizing Channel Density by Lateral Shifting of Components ","SODA Symposium Discrete Algorithms","D Johnson"
"56","1","156","A LaPaugh, E Coffman, M Garey","Scheduling File Transfers ","SIAM Society for Industrial and Applied Mathematics J Comput","D Johnson"
"57","1","157","A LaPaugh, E Coffman, M Garey","Scheduling File Transfers in a Distributed Network ","PODC Symposium Principles of Distributed Computing","D Johnson"
"58","1","158","Z Mao, O Spatscheck, J Merwe, J Merwe, J Wang","Efficient and robust streaming provisioning in VPNs,","Proceedings WWW World Wide Web Conference Series","D Johnson"
"59","1","159","Z Mao, J Rexford, J Wang, J Wang, R Katz","Scalable and accurate identification of AS-level forwarding paths,"," Proceedings INFOCOM The Conference Computer Communications","D Johnson"
"60","1","30","","The Tale of the Second Prover,","J Algorithms","D Johnson"
"61","1","31","","The Twelve Open Problems From [G&J]","Updates J Algorithms","D Johnson"
"62","1","32","","The Traveling Salesman Problem: A report on the State of the Art ","IFIP International Federation for Information Processing Congress","D Johnson"
"63","1","33","D Johnson, D Applegate, L Buriol, B Dillard, D Johnson, D Johnson, P Shor","The Cutting-Stock Approach to Bin Packing: Theory and Experiments,","Procedings of the Fifth Workshop Algorithm Engineering and Experimentation R E Ladner Editor SIAM Society for Industrial and Applied Mathematics","D Johnson"
"64","1","34","D Johnson, C Aragon, D Johnson, L McGeoch, C Schevon","Optimization by Simulated Annealing: An Experimental Evaluation; Part II, Graph Coloring and Number Partitioning,","Operations Research","D Johnson"
"65","1","35","D Johnson, S Assmann, D Johnson, D Kleitman, J Leung","On a Dual Version of the One-Dimensional Bin Packing Problem,","J Algorithms","D Johnson"
"66","1","36","A Barvinok, A Tamir, G Woeginger, R Woodroofe, S S&aacute, n Fekete","The geometric maximum traveling salesman problem ","J ACM","D Johnson"
"67","1","37","A Barvinok, G Woeginger, R Woodroofe","The Maximum Traveling Salesman Problem Under Polyhedral Norms ","IPCO Integer Programming Combinatorial Optimization","D Johnson"
"68","1","38","D Johnson, J Bentley, D Johnson, F Leighton, C McGeoch","An Experimental Study of Bin Packing,","Proc st Ann Allerton Conf Communication Control and Computing","D Johnson"
"69","1","39","D Johnson, J Bentley, D Johnson, F Leighton, C McGeoch, L McGeoch","Some Unexpected Behavior Results for Bin-Packing,","Proc th Ann ACM Symp Theory of Computing","D Johnson"
"70","1","160","C McGeoch, F Leighton, J Bentley, L McGeoch","Some Unexpected Expected Behavior Results for Bin Packing","STOC ACM Symposium Theory of Computing","D Johnson"
"71","1","161","D Johnson, N Megiddo, S Hakimi, M Garey, D Johnson, C Papadimitriou","The Complexity of Searching a Graph,","J Assoc Comp Mach","D Johnson"
"72","1","162","J Merwe, J Wang, O Spatscheck, Z Mao","Efficient and robust streaming provisioning in VPNs ","WWW World Wide Web Conference Series","D Johnson"
"73","1","163","M Minkoff, S Phillips","The prize collecting Steiner tree problem: theory and practice ","SODA Symposium Discrete Algorithms","D Johnson"
"74","1","164","G Ostheimer, L McGeoch, M Fredman","Data Structures for Traveling Salesmen ","SODA Symposium Discrete Algorithms","D Johnson"
"75","1","165","G Ostheimer, L McGeoch, M Fredman","Data Structures for Traveling Salesmen ","J Algorithms","D Johnson"
"76","1","166","C Papadimitriou, M Yannakakis","How Easy is Local Search?","J Comput Syst Sci","D Johnson"
"77","1","167","C Papadimitriou, M Yannakakis","How Easy Is Local Search? Extended Abstract ","FOCS IEEE Symposium Foundations of Computer Science","D Johnson"
"78","1","168","C Papadimitriou","On Generating All Maximal Independent Sets ","Inf Process Lett","D Johnson"
"79","1","169","C Papadimitriou, E Dahlhaus, M Yannakakis, P Seymour","The Complexity of Multiway Cuts Extended Abstract ","STOC ACM Symposium Theory of Computing","D Johnson"
"80","1","40","F Berman, F Leighton, L Snyder, P Shor","Generalized Planar Matching ","J Algorithms","D Johnson"
"81","1","41","F Berman","Performance of the Efficient Data-Driven Evaluation Scheme ","J Parallel Distrib Comput","D Johnson"
"82","1","42","D Johnson, W Boyce, M Garey, D Johnson","A Note on Bisecting Minimum Spanning Trees,","Networks","D Johnson"
"83","1","43","D Johnson, P Brucker, M Garey, D Johnson","Scheduling Equal-Length Tasks Under Treelike Precedence Constraints to Minimize Maximum Lateness,","Math of Oper Research","D Johnson"
"84","1","44","D Johnson, F Chung, M Garey, D Johnson","On Packing Two-Dimensional Bins,","SIAM Society for Industrial and Applied Mathematics J Algebraic and Discrete Methods","D Johnson"
"85","1","45","D Johnson, V Chvatal, M Garey, D Johnson","Two Results Concerning Multicoloring,","Ann Disc Math","D Johnson"
"86","1","46","J Cirasella, L McGeoch, W Zhang","The Asymmetric Traveling Salesman Problem: Algorithms, Instance Generators, and Tests ","ALENEX Algorithm Engineering and Experiments","D Johnson"
"87","1","47","D Johnson, E Coffman, NA , M Garey, D Johnson","Bin Packing with Divisible Item Sizes,","J Complexity","D Johnson"
"88","1","48","D Johnson, E Coffman, NA , D Johnson, L McGeoch, P Shor, R Weber","Bin Packing with Discrete Item Sizes, Part III: Average Case Behavior of FFD and BFD,","NA","D Johnson"
"89","1","49","D Johnson, E Coffman, NA , C Courcoubetis, M Garey, D Johnson, P Shor, R Weber, R Weber, M Yannakakis","Bin Packing with Discrete Item Sizes, Part I: Perfect Packing Theorems and the Average Case Behavior of Optimal Packings,","SIAM Society for Industrial and Applied Mathematics J Discrete Math","D Johnson"
"90","1","170","C Papadimitriou, E Dahlhaus, M Yannakakis, P Seymour","The Complexity of Multiterminal Cuts ","SIAM Society for Industrial and Applied Mathematics J Comput","D Johnson"
"91","1","171","C Papadimitriou, M Garey, N Megiddo, S Hakimi","The complexity of searching a graph ","J ACM","D Johnson"
"92","1","172","C Papadimitriou, M Garey, N Megiddo, S Hakimi","The Complexity of Searching a Graph Preliminary Version ","FOCS IEEE Symposium Foundations of Computer Science","D Johnson"
"93","1","173","F Preparata","The Densest Hemisphere Problem ","Theor Comput Sci","D Johnson"
"94","1","174","F Preparata, M Garey, R Tarjan","Triangulating a Simple Polygon ","Inf Process Lett","D Johnson"
"95","1","175","E Rothberg, L McGeoch","Asymptotic Experimental Analysis for the Held-Karp Traveling Salesman Bound ","SODA Symposium Discrete Algorithms","D Johnson"
"96","1","176","B Simons, M Garey, R Tarjan","Scheduling Unit-Time Tasks with Arbitrary Release Times and Deadlines ","SIAM Society for Industrial and Applied Mathematics J Comput","D Johnson"
"97","1","177","H So, M Garey","An Application of Graph Coloring to Printed Circuit Testing Working Paper ","FOCS IEEE Symposium Foundations of Computer Science","D Johnson"
"98","1","178","L Stockmeyer, M Garey","Some Simplified NP-Complete Graph Problems ","Theor Comput Sci","D Johnson"
"99","1","179","L Stockmeyer, M Garey","Some Simplified NP-Complete Problems","STOC ACM Symposium Theory of Computing","D Johnson"
"100","1","100","M Garey","The Rectilinear Steiner Tree Problem in NP Complete ","SIAM Society for Industrial and Applied Mathematics Journal of Applied Mathematics","D Johnson"
"101","1","101","D Johnson, M Garey, D Johnson","The Rectilinear Steiner Tree Problem is NP-Complete,","SIAM Society for Industrial and Applied Mathematics J Appl Math","D Johnson"
"102","1","102","D Johnson, M Garey, D Johnson","A / Theorem for Bin Packing,","J Complexity","D Johnson"
"103","1","103","D Johnson, M Garey, D Johnson","Two-Processor Scheduling with Start-Times and Deadlines,","SIAM Society for Industrial and Applied Mathematics J Computing","D Johnson"
