"","author.ID","paper.ID","coauthor.names","paper.title","journal.title","author.names"
"1","10","1","NA ","Discourse: Codes and Clues in Contexts ","ACL Meeting of the Association for Computational Linguistics","J Robinson"
"2","10","2","NA ","DIAGRAM: A Grammar for Dialogues ","Cooperative Interfaces to Information Systems","J Robinson"
"3","10","3","NA ","DIAGRAM: A Grammar for Dialogues ","Commun ACM","J Robinson"
"4","11","1","A Burns","A Dialogue Development System for the Design and Implementation of User Interfaces in Ada ","Comput J","J Robinson"
"5","11","2","A Burns","ADDS - A Dialogue Development System for the Ada Programming Language ","International Journal of Man Machine Studies","J Robinson"
"6","12","1","NA ","Software Engineering Curriculum Development Model ","CSEE","J Robinson"
"7","12","2","W Bralick","Using a Multi-User Dialogue System to Support Software Engineering Distance Education ","CSEE","J Robinson"
"8","1","32","H Kung","On optimistic methods for concurrency control ","ACM Trans Database Systems","J Robinson"
"9","1","16","B Iyer, D Dias, D Cornell, P Yu","Modelling of Centralized Concurrency Control in a Multi-System Environment ","SIGMETRICS Measurement and Modeling of Computer Systems","J Robinson"
"10","1","33","D Dias, B Iyer, NA , P Yu","Integrated concurrency-coherency controls for multi-system data sharing ","IEEE Trans Soft Eng","J Robinson"
"11","1","17","B Iyer, D Dias, P Yu","Integrated Concurrency-Coherency Controls for Multisystem Data Sharing ","IEEE Trans Software Eng","J Robinson"
"12","1","34","V Castelli, L Bergman, I Kontoyiannis, C Li, C Li, J Turek","Progressive search and retrieval in large image archives ","IBM Journal of Res Develop","J Robinson"
"13","1","18","H Kung","On Optimistic Methods for Concurrency Control ","VLDB Very Large Data Bases","J Robinson"
"14","1","35","P Heidelberger, A Norton","Parallel quicksort using fetch-and-add ","IEEE Trans Computers","J Robinson"
"15","1","19","H Kung","On Optimistic Methods for Concurrency Control ","ACM Trans Database Syst","J Robinson"
"16","1","36","","Some analysis techniques for asynchronous multiprocessor algorithms ","IEEE Trans Soft Eng SE","J Robinson"
"17","1","37","","Separating policy from correctness in concurrency control design ","Software Practice and Experience","J Robinson"
"18","1","38","C Schulz, M Wazlowski, P Bland, P Franaszek, R Tremaine, T Smith","IBM Memory Expansion Technology MXT ","IBM Journal of Research and Development","J Robinson"
"19","1","39","J Thomas, P Franaszek","Parallel Compression with Cooperative Dictionary Construction ","Data Compression Conference","J Robinson"
"20","1","1","","A Fast General-Purpose Hardware Synchronisation Mechanism ","SIGMOD International Conference Management of Data Conference","J Robinson"
"21","1","2","","Analysis of Steady-State Segment Storage Utilizations in a Log-Structured File System with Least-Utilized Segment Cleaning ","Operating Systems Review","J Robinson"
"22","1","3","","Order Preserving Linear Hashing Using Dynamic Key Statistics ","PODS Symposium Principles of Database Systems","J Robinson"
"23","1","4","","Some Analysis Techniques for Asynchronous Multiprocessor Algorithms ","IEEE Trans Software Eng","J Robinson"
"24","1","5","","Separating Policy from Correctness in Concurrency Control Design ","Softw Pract Exper","J Robinson"
"25","1","6","","The K-D-B-Tree: A Search Structure For Large Multidimensional Dynamic Indexes ","SIGMOD International Conference Management of Data Conference","J Robinson"
"26","1","7","C Benveniste, P Franaszek","Cache-Memory Interfaces in Compressed Memory Systems ","IEEE Trans Computers","J Robinson"
"27","1","8","M Devarakonda","Data Cache Management Using Frequency-Based Replacement ","SIGMETRICS Measurement and Modeling of Computer Systems","J Robinson"
"28","1","9","M Devarakonda","Note on a Problem with Reed and Long's FBR Results ","Operating Systems Review","J Robinson"
"29","1","20","A Nigam, H Korth, R Krishnamurthy","A Framework for Understanding Distributed Deadlock Detection Algorithms ","PODS Symposium Principles of Database Systems","J Robinson"
"30","1","21","A Norton, P Heidelberger","Parallel Quicksort Using Fetch-and-Add ","IEEE Trans Computers","J Robinson"
"31","1","22","D Poff, P Franaszek, P Heidelberger","Alogrithms and data structures for compressed-memory machines ","IBM Journal of Research and Development","J Robinson"
"32","1","23","R Tremaine, P Franaszek, C Schulz, T Smith, M Wazlowski, NA , P Bland","IBM Memory Expansion Technology MXT ","IBM Journal of Res Develop","J Robinson"
"33","1","40","A Thomasian, P Franaszek","Access Invariance and Its Use in High Contention Environments ","ICDE International Conference Data Engineering","J Robinson"
"34","1","24","C Benveniste, P Franaszek","Cache-memory interfaces in compressed memory systems ","IEEE Trans Computers","J Robinson"
"35","1","41","A Thomasian, P Franaszek","Concurrency Control for High Contention Environments ","ACM Trans Database Syst","J Robinson"
"36","1","25","P Franaszek, A Thomasian","Concurrency control for high contention environments ","ACM Trans Database Systems","J Robinson"
"37","1","42","A Thomasian, J Haritsa, P Franaszek","Distributed Concurrency Control Based on Limited Wait-Depth ","IEEE Trans Parallel Distrib Syst","J Robinson"
"38","1","26","P Franaszek, J Haritsa, J Haritsa, A Thomasian","Distributed concurrency control based on limited wait-depth ","IEEE Trans Parallel and Distributed Systems","J Robinson"
"39","1","43","A Thomasian, J Haritsa, P Franaszek","Distributed Concurrency Control with Limited Wait-Depth ","ICDCS International Conference Distributed Computing Systems","J Robinson"
"40","1","27","P Franaszek, P Heidelberger, P Heidelberger, D Poff","Algorithms and data structures for compressed-memory machines ","IBM Journal of Res Develop","J Robinson"
"41","1","44","A Thomasian, P Franaszek","Wait Depth Limited Concurrency Control ","ICDE International Conference Data Engineering","J Robinson"
"42","1","28","P Franaszek","Limitations of concurrency in transaction processing ","ACM Trans Database Systems","J Robinson"
"43","1","29","P Yu, D Dias, B Iyer, NA , D Cornell","On coupling multi-systems through data sharing ","Proceedings of the IEEE","J Robinson"
"44","1","10","P Franaszek","Limitations of Concurrency in Transaction Processing ","ACM Trans Database Syst","J Robinson"
"45","1","11","P Franaszek","On Variable Scope of Parity Protection in Disk Arrays ","IEEE Trans Computers","J Robinson"
"46","1","12","P Franaszek","Analysis of Reorganization Overhead in Log-Structured File Systems ","ICDE International Conference Data Engineering","J Robinson"
"47","1","13","P Franaszek","On internal organization in compressed random-access memories ","IBM Journal of Research and Development","J Robinson"
"48","1","14","B Iyer, D Dias, P Yu","Design and Analysis of Integrated Concurrency-Coherence Controls ","VLDB Very Large Data Bases","J Robinson"
"49","1","30","P Franaszek","On variable scope of parity protection in disk arrays ","IEEE Trans Computers","J Robinson"
"50","1","15","B Iyer, D Dias, D Cornell, P Yu","Distributed Concurrency Control Analysis for Data Sharing ","Int CMG Computer Measurement Group Conference","J Robinson"
"51","1","31","P Franaszek","On internal organization in compressed random access memories ","IBM Journal of Res Develop","J Robinson"
"52","2","12","NA ","Invited editorial ","TPLP Theory and Practice of Logic Programming","J Robinson"
"53","2","13","N Martin","Meeting of the Association for Symbolic Logic ","J Symb Log","J Robinson"
"54","2","14","NA ","Is Logic Programming Enough?","DS Discovery Science","J Robinson"
"55","2","15","NA ","Logic, Computers, Turing, and von Neumann ","Machine Intelligence","J Robinson"
"56","2","16","NA ","The Role of Logic in Computer Science and Artificial Intelligence ","FGCS Fifth Generation Computer Systems","J Robinson"
"57","2","17","NA ","New directions in mechanical theorem proving ","IFIP International Federation for Information Processing Congress","J Robinson"
"58","2","18","NA ","The Future of Logic Programming Invited Paper ","IFIP International Federation for Information Processing Congress","J Robinson"
"59","2","19","J Barklund","Vesper ","Machine Intelligence","J Robinson"
"60","2","20","NA ","Informal Rigor and Mathematical Understanding ","Kurt G ouml del Colloquium","J Robinson"
"61","2","1","NA ","Computational Logic: Memories of the Past and Challenges for the Future ","Computational Logic","J Robinson"
"62","2","2","NA ","Proof = Guarantee + Explanation ","Intellectics and Computational Logic","J Robinson"
"63","2","3","NA ","Formal and Informal Proofs ","Automated Reasoning Essays Honor of Woody Bledsoe","J Robinson"
"64","2","4","NA ","Merging Functional with Relational Programming in a Reduction Setting Abstract of an Invited Lecture ","LICS Logic Computer Science","J Robinson"
"65","2","5","A Voronkov","Preface ","Handbook of Automated Reasoning","J Robinson"
"66","2","6","NA ","Editor's Introduction ","J Log Program","J Robinson"
"67","2","7","NA ","Introduction: th Birthday Special Issue of The Journal of Logic Programming ","J Log Program","J Robinson"
"68","2","8","NA ","Logic Programming - Past, Present and Future ","New Generation Comput","J Robinson"
"69","2","9","NA ","Logic and Logic Programming ","Commun ACM","J Robinson"
"70","2","10","NA ","Theorem-Proving on the Computer ","J ACM","J Robinson"
"71","2","11","NA ","A Machine-Oriented Logic Based on the Resolution Principle ","J ACM","J Robinson"
"72","3","10","G Edirisooriya, S Edirisooriya","On the Performance of Augmented Signature Testing ","ISCAS IEEE International Symposium Circuits and Systems","J Robinson"
"73","3","11","A Gavin, B Berger, B O'Leary, C Roberts, C Birkett, M Soares, M Bonaldo, N Robinson, N Trivedi, T Kucaba, T Braun, T Casavant, T Scheetz, V Sheffield","ESTprep: Preprocessing CDNA Sequence Reads ","Bioinformatics","J Robinson"
