"","author.ID","paper.ID","coauthor.names","paper.title","journal.title","author.names"
"1","10","1","E Shinohara, H Matsumura, H Sunaga, M Takemoto","The Ubiquitous Service-Oriented Network USON - An Approach for a Ubiquitous World Based on P P Technology ","Peer to Peer Computing","K Tanaka"
"2","10","2","C Hong, S Honda, T Yoneda, Y Matsushita","Multimedia Communication Networking Architecture Model for High Speed Network ","LCN IEEE Conference Local Computer Networks","K Tanaka"
"3","1","103","M Yoshikawa, K Ishihara","Schema Design, Views and Incomplete Information in Object-oriented Databases,"," English Trans of IPSJ","K Tanaka"
"4","1","16","K Harumoto, K Tajima, M Tsukamoto, M Arikawa, S Shimojo, S Nishio, Y Ariki","An Advanced Processing Environment for Managing the Continuous and Semistructured Features of Multimedia Content ","ADBIS Advances Databases and Information Systems DASFAA Database Systems for Advanced Applications","K Tanaka"
"5","1","104","M Yoshikawa, K Ishihara","Schema Virtualization in Object-Oriented Databases,","Proc of the th IEEE Int Conf Data Engineering","K Tanaka"
"6","1","17","K Hatano, R Sano, Y Duan","An Interactive Classification of Web Documents by Self-Organizing Maps and Search Engines ","DASFAA Database Systems for Advanced Applications","K Tanaka"
"7","1","105","M Yoshikawa","Towards Abstracting Complex Database Objects: Generalization, Reduction and Unification of Set-type Objects Extended Abstract ,","Proc Int Conf Database Theory Lecture Notes Computer Science Springer Verlag","K Tanaka"
"8","1","50","A Nadamoto, K Sumiya, M Shikata","MWM: Retrieval and Automatic Presentation of Manual Data for Mobile Terminals ","DEXA Database and Expert Systems Applications","K Tanaka"
"9","1","18","K Hatano, Q Qian","A SOM-Based Information Organizer for Text and Video Data ","DASFAA Database Systems for Advanced Applications","K Tanaka"
"10","1","106","K Zettsu, Y Kidawara","Image Retrieval by Web Context: Filling the Gap between Image Keywords and Usage Keywords ","DEXA Database and Expert Systems Applications","K Tanaka"
"11","1","51","A Nadamoto, H Kondo","WebCarrousel: Restructuring Web Search Results for Passive Viewing in Mobile Environments ","DASFAA Database Systems for Advanced Applications","K Tanaka"
"12","1","19","T Hirose, T Hata, Y Nakanishi","Querying Multiple Perspective Video by Camera Metaphor ","DASFAA Database Systems for Advanced Applications","K Tanaka"
