"","author.ID","paper.ID","coauthor.names","paper.title","journal.title","author.names"
"1","10","1","J Hu, W Turin","Invariant Features for HMM Based On-Line Handwriting Recognition ","ICIAP","M Brown"
"2","10","2","A Rosenthal, J Hu","Combining High-Level Features with Sequential Local Features for On-Line Handwriting Recognition ","ICIAP","M Brown"
"3","10","3","J Hu, W Turin","HMM Based On-Line Handwriting Recognition ","IEEE Transactions Pattern Analysis and Machine Intelligence","M Brown"
"4","11","1","M Brown, M Brown, J Stark, Y Patt","Select-Free Instruction Scheduling Logic,","Proceedings of the th ACM IEEE International Symposium Microarchitecture MICRO International Symposium Microarchitecture talk slides","M Brown"
"5","11","2","M Brown, M Brown, Y Patt","Using Internal Redundant Representations and Limited Bypass to Support Pipelined Adders and Register Files,"," the Proceedings of the th IEEE International Symposium High Performance Computer Architecture HPCA International Symposium High Performance Computer Architecture talk slides","M Brown"
"6","11","3","Y Patt","Using Internal Redundant Representations and Limited Bypass to Support Pipelined Adders and Register Files ","HPCA International Symposium High Performance Computer Architecture","M Brown"
"7","11","4","M Brown, J Stark, M Brown, Y Patt","On Pipelining Dynamic Instruction Scheduling Logic,","Proceedings of the rd ACM IEEE International Symposium Microarchitecture MICRO International Symposium Microarchitecture","M Brown"
"8","11","5","J Stark, Y Patt","Select-free instruction scheduling logic ","MICRO International Symposium Microarchitecture","M Brown"
"9","12","1","","Selecting Semantics for Use with Semantic Pruning of Linear Deductions ","Australian Joint Conference Artificial Intelligence","M Brown"
"10","12","2","G Sutcliffe","PTTP+GLiDeS: Guiding Linear Deductions with Semantics ","N Foo editor Advanced Topics Artificial Intelligence th Australian Joint Conference Artificial Intelligence AI Artificial Intelligence Sydney number Lecture Notes Artificial Intelligence pages Springer Verlag Heidelberg","M Brown"
"11","12","3","G Sutcliffe","PTTP+GLiDeS - Semantically Guided PTTP,","D McAllester editor Automated Deduction CADE Conference Automated Deduction th International Conference Automated Deduction Proceedings p number LNAI Springer Verlag New","M Brown"
"12","12","4","G Sutcliffe","PTTP+GLiDeS - Using Models to Guide Linear Deductions ","Baumgartner P Fermueller C Peltier N Zhang H Eds Proceedings of the CADE Conference Automated Deduction Workshop Model Computation Principles Algorithms Applications","M Brown"
"13","12","5","G Sutcliffe","System Description: PTTP+GLiDeS - Semantically Guided PTTP ","Technical Report School of Information Technology James Cook University","M Brown"
"14","12","6","","Selecting Semantics for Use with Semantic Pruning of Linear Deductions,","McKay Bob and Slaney J editor AI Artificial Intelligence Advances Artifical Intelligence th Australian Joint Intelligence Canberra Proceedings number LNAI Springer Verlag Heidelberg","M Brown"
"15","12","7","G Sutcliffe","PTTP+GLiDeS: Guiding Linear Deductions with Semantics ","Australian Joint Conference Artificial Intelligence","M Brown"
