"","author.ID","paper.ID","coauthor.names","paper.title","journal.title","author.names"
"1","10","1","B Kvande, I Levinstein, K Maly, M Olson, R Mukkamala, R Chambers, R Whitney, S Nanjangud","PMES: privilege mangagement and enforcement system for secure distributed resource sharing ","IFIP International Federation for Information Processing World Conference IT Tools","A Gupta"
"2","10","2","C Vemuru, H Syed, H Abdel-Wahab, K Maly, M Kholief, R Mukkamala, S Dittakavi","CoProcess: A Java-based Environment for Collaborative Process Management Over the Web ","WebNet","A Gupta"
"3","10","3","B Kvande, I Levinstein, K Maly, M Olson, R Mukkamala, R Chambers, R Whitney, S Nanjangud","A privilege management and enforcement system for distributed resource sharing ","WETICE Workshop Enabling Technologies Infrastructure for Collaborative Enterprises","A Gupta"
"4","10","4","A Youssef, C Overstreet, E Stoica, H Abdel-Wahab, J Wild, K Mary","The software architecture and interprocess communications of IRI: an Internet-based interactive distance learning system ","WETICE Workshop Enabling Technologies Infrastructure for Collaborative Enterprises","A Gupta"
"5","10","5","A Prabhu, C Vemuru, H Syed, H Abdel-Wahab, K Maly, R Mukkamala","Mosaic + XTV = CoReview ","Computer Networks and ISDN Systems","A Gupta"
"6","10","6","A Gonzalez, A Hamid, C Overstreet, H Abdel-Wahab, J Wild, K Maly, S Ghanem, X Zhu","IRI-h, a Java-based distance education system ","ACM Journal of Educational Resources Computing","A Gupta"
"7","10","7","K Maly, S Mynam","BTU: A Host Communication Benchmark ","IEEE Computer","A Gupta"
"8","10","8","A Youssef, C Overstreet, E Al-Shaer, E Stoica, H Abdel-Wahab, J Wild, K Maly","Interactive Distance Learning over Intranets ","IEEE Internet Computing","A Gupta"
"9","10","9","C Overstreet, H Abdel-Wahab, K Maly, M Kumar, R Srivastava","Performance trade-offs for a multimedia distributed application ","HPN High Performance Networking","A Gupta"
"10","11","1","M Moran, R Bettati, R Oppliger","A Security Architecture for Tenet Scheme ","IDMS Interactive Distributed Multimedia Systems and Telecommunication Services","A Gupta"
