"","author.ID","paper.ID","coauthor.names","paper.title","journal.title","author.names"
"1","10","20","Y Hsu, B Tabbara, F Tsai"," Advanced Techniques for RTL Debugging "," th Design Automation Conference","Y Chen"
"2","10","21","C Lu, W Liu"," High Probability High Density State Traversal "," IEEE th International Workshop Logic Synthesis","Y Chen"
"3","10","22","B Tabbara, F Tsai, Y Hsu","Advanced techniques for RTL debugging ","DAC Design Automation Conference","Y Chen"
"4","10","23","B Yang, D O'Hallaron, R Bryant","Space- and Time-Efficient BDD Construction via Working Set Control ","ASP DAC Design Automation Conference","Y Chen"
"5","10","1","R Bryant","ACV: an arithmetic circuit verifier ","ICCAD International Conference Computer Aided Design","Y Chen"
"6","10","2","R Bryant"," Verification of Arithmetic Circuits Binary Moment Diagrams "," Design Automation Conference","Y Chen"
"7","10","3","R Bryant","Verification of Arithmetic Circuits with Binary Moment Diagrams ","DAC Design Automation Conference","Y Chen"
"8","10","10","R Bryant"," Verification of Floating Point Adders "," Proceeding of th International Conference of Computer Aided Verification","Y Chen"
"9","10","4","R Bryant"," Verification of Arithmetic Circuits Using Binary Moment Diagrams, "," International Journal Software Tools for Technology Transfer","Y Chen"
"10","10","11","P Ho, E Clark, T Kam, Y Hoskote, J O'Leary, M Khaira"," Verification of all circuits in a floating-point unit using word-level model checking "," Proceedings of Formal Methods Computer Aid Design","Y Chen"
"11","10","5","R Bryant"," Verification of Arithmetic Functions Binary Moment Diagrams "," Tech Report CMU CS School of Computer Science Carnegie Mellon University","Y Chen"
"12","10","12","F Chen"," Algorithms for Compacting Error Traces "," Proceeding of Asian Pacific Design Automation Conference ASPDAC","Y Chen"
"13","10","6","R Bryant","PHDD: an efficient graph representation for floating point circuit verification ","ICCAD International Conference Computer Aided Design","Y Chen"
"14","10","13","J Chen"," Equivalence Checking of Integer Multipliers "," Proceeding of Asian Pacific Design Automation Conference ASPDAC","Y Chen"
"15","10","7","L Chang, Y Lin","A Systolic Algorithm for the k-Nearest Neighbors Problem ","IEEE Trans Computers","Y Chen"
"16","10","14","R Bryant"," An Efficient Graph Representation for Arithmetic Circuit Verification "," IEEE Transactions Computer Aided Design of Integrated Circuits and Systems","Y Chen"
"17","10","8","B Yang, R Bryant"," Breadth-First Depth-First BDD Construction: A Hybrid Approach "," Tech Report CMU CS School of Computer Science Carnegie Mellon University","Y Chen"
"18","10","15","Y Lin","A New Global Router for ASIC Design Based on Simulated Evolution,","Proceedings of International Symposium VLSI Very Large Scale Integration Technology Systems and Applications","Y Chen"
"19","10","9","R Bryant"," ACV: An Arithmetic Circuit Verifier "," Proceedings of International Conference of Computer Aid Design","Y Chen"
"20","10","16","R Bryant"," *PBHD: An Efficient Graph Representation for Floating Point Circuit Verification "," Tech Report CMU CS School of Computer Science Carnegie Mellon University","Y Chen"
"21","10","17","R Bryant"," *PHDD: An Efficient Graph Representation for Floating Point Circuit Verifica tion ","Proceedings of International Conference of Computer Aid Design","Y Chen"
"22","10","18","Y Lin, L Chang"," A Systolic Algorithm for the K-Nearest Neighbors Problem "," IEEE Tran Computers","Y Chen"
"23","10","19","E Clarke, J O'Leary, M Khaira, P Ho, T Kam, X Zhao, Y Hoskote","Verification of All Circuits in a Floating-Point Unit Using Word-Level Model Checking ","FMCAD Formal Methods Computer Aided Design","Y Chen"
"24","11","73","N Mendoza, Z Nakao, T Adachi"," A hybrid optimization method using real-coded multi-parent EA, simplex and simulated annealing with applications in the resolution of overlapped signals, ","Applied Soft Computing","Y Chen"
"25","11","74","Y Chen, N Mendoza, Y Chen, Z Nakao","A hybrid optimization method using real-coded multi-parent EA, simplex and simulated annealing with applications in the resolution of overlapped signals","Proc of IEEE International Conference Industrial Electronis Control and Instrumentation Nagoya","Y Chen"
"26","11","75","N Mendoza, J Pan","A systematic SC-based methodology for super-resolution of video sequences","Proc of th Int Conf Neural Information Processing Shanghai","Y Chen"
"27","11","76","Y Chen, T Miyagi, Z Nakao, Y Chen"," A Study on Adaptive Complex Systems under some simple conditions"," Methodologies for the Conception Design and Application of Soft Computing Eds T Yamakawa and G Matsumoto World Scientific","Y Chen"
"28","11","100","S Nozaki, Z Nakao","A CT reconstruction based on principal component analysis","Proc of th Int Conf Neural Information Processing Shanghai","Y Chen"
"29","11","77","N Miyanaga, Y al","gHigh-resolution Penumbral Imaging","Radiation C Japanese","Y Chen"
"30","11","101","S Nozaki, T Kohatsu, Z Nakao","A Fourier series-based method of CT image reconstruction","Proc of Int Tech Conf Circuits Systems Computers and Communications Tokushima","Y Chen"
"31","11","78","H Monma, Z Nakao","Computed tomography based on a self-organizing neural network","Proc of IEEE Int Conf Systems Man and Cybernetics Tokyo W","Y Chen"
"32","11","102","S Nozaki, Z Nakao, S Fujioka, H Shiraga","A heuristic penumbral imaging technique for measurements of laser-produced plasma density profile","Review of Scientific Instruments press SCI Scalable Coherent Interface","Y Chen"
